* Data obtained from finance.yahoo.com on August 31, 2021
Date,Open,High,Low,Close,Adj Close,Volume
2021-01-12,50.639999,50.650002,50.099998,50.290001,48.944218,9628800
2021-01-13,50.740002,51.250000,50.669998,50.880001,49.518429,11452800
2021-01-14,51.470001,51.799999,51.169998,51.290001,49.917458,11521700
2021-01-15,51.290001,51.560001,51.130001,51.340000,49.966118,9524000
2021-01-19,52.520000,52.660000,52.209999,52.570000,51.163200,13568700
2021-01-20,52.650002,52.650002,51.910000,52.240002,50.842037,13626200
2021-01-21,52.560001,52.740002,52.160000,52.549999,51.143738,16054800
2021-01-22,52.730000,53.540001,52.619999,53.250000,51.825005,13372700
2021-01-25,53.730000,54.209999,53.590000,54.009998,52.564663,13742800
2021-01-26,54.520000,54.650002,54.189999,54.439999,52.983158,11614400
2021-01-27,53.369999,53.430000,52.029999,52.099998,50.705776,14550200
2021-01-28,52.119999,52.939999,51.990002,52.040001,50.647388,8374800
2021-01-29,51.730000,52.209999,50.509998,50.599998,49.245918,12692500
2021-02-01,51.259998,51.299999,50.209999,50.400002,49.051273,14590900
2021-02-02,50.520000,50.630001,50.020000,50.060001,48.720371,11349800
2021-02-03,50.160000,50.340000,49.730000,50.000000,48.661976,9069700
2021-02-04,50.310001,50.450001,50.040001,50.360001,49.012344,7317700
2021-02-05,49.950001,50.099998,49.650002,49.730000,48.399200,9809400
2021-02-08,50.099998,50.529999,49.799999,50.060001,48.720371,8559100
2021-02-09,50.160000,50.639999,50.040001,50.410000,49.061005,8058100
2021-02-10,50.779999,50.840000,49.759998,49.970001,48.632778,9656600
2021-02-11,50.340000,50.430000,49.599998,50.090000,48.749569,13276000
2021-02-12,50.930000,51.740002,50.799999,51.689999,50.306751,11856400
2021-02-16,51.020000,51.259998,50.599998,50.889999,49.528160,8823300
2021-02-17,51.049999,51.790001,50.849998,51.450001,50.073174,9514000
2021-02-18,51.490002,51.980000,51.410000,51.500000,50.121838,9762100
2021-02-19,51.130001,51.160000,50.549999,50.590000,49.236187,6895600
2021-02-22,50.669998,50.810001,50.360001,50.570000,49.216724,10776000
2021-02-23,50.700001,50.770000,49.220001,49.310001,47.990444,14535900
2021-02-24,49.660000,50.320000,49.509998,50.099998,48.759300,12218600
2021-02-25,49.849998,49.869999,48.750000,48.910000,48.521210,12795900
2021-02-26,48.849998,48.919998,47.980000,48.380001,47.995422,8551200
2021-03-01,48.459999,48.680000,48.080002,48.090000,47.707726,11384700
2021-03-02,48.400002,48.430000,47.669998,47.730000,47.350590,14356500
2021-03-03,47.639999,47.639999,46.849998,47.160000,46.785118,14031700
2021-03-04,47.590000,47.950001,46.480000,47.230000,46.854565,15996400
2021-03-05,47.570000,48.119999,47.150002,48.060001,47.677967,11174800
2021-03-08,47.750000,48.470001,47.660000,48.189999,47.806931,11753000
2021-03-09,49.400002,49.880001,49.070000,49.270000,48.878349,15539100
2021-03-10,50.200001,50.290001,49.700001,49.810001,49.414055,12728700
2021-03-11,48.950001,49.270000,48.590000,48.669998,48.283115,12653900
2021-03-12,48.270000,48.580002,47.880001,48.419998,48.035103,8919800
2021-03-15,48.580002,48.779999,48.130001,48.770000,48.382320,10645400
2021-03-16,49.950001,50.470001,49.860001,50.049999,49.652145,16767800
2021-03-17,49.799999,50.119999,49.090000,50.070000,49.671989,13008100
2021-03-18,49.470001,49.970001,49.279999,49.330002,48.937874,9792200
2021-03-19,49.220001,49.480000,48.889999,49.209999,48.818825,6788800
2021-03-22,49.980000,51.209999,49.869999,51.200001,50.793007,10092000
2021-03-23,49.950001,50.209999,49.160000,49.400002,49.007317,10891800
2021-03-24,49.130001,49.299999,48.759998,48.790001,48.402164,6482600
2021-03-25,48.930000,49.790001,48.810001,49.700001,49.304932,6800200
2021-03-26,49.560001,50.669998,49.480000,50.639999,50.237457,9707500
2021-03-29,50.549999,51.060001,50.480000,50.810001,50.406105,8652400
2021-03-30,50.139999,50.169998,49.689999,49.970001,49.572784,7084800
2021-03-31,50.040001,50.130001,49.700001,49.720001,49.324772,6688300
2021-04-01,49.610001,49.790001,49.330002,49.529999,49.136280,5958600
2021-04-05,49.410000,49.799999,49.400002,49.529999,49.136280,5294000
2021-04-06,49.450001,49.680000,49.160000,49.220001,48.828747,7127800
2021-04-07,49.060001,49.119999,48.259998,48.419998,48.035103,9469100
2021-04-08,49.669998,49.799999,49.430000,49.500000,49.106518,10361300
2021-04-09,50.150002,50.160000,49.680000,49.939999,49.543018,7432200
2021-04-12,49.830002,49.919998,49.369999,49.419998,49.027153,7890500
2021-04-13,49.209999,49.599998,48.959999,49.189999,48.798981,7733900
2021-04-14,50.040001,50.320000,49.740002,49.840000,49.443817,11863600
2021-04-15,50.740002,51.290001,50.599998,50.830002,50.425949,13903000
2021-04-16,50.799999,51.009998,50.610001,50.740002,50.336662,22166200
2021-04-19,51.639999,51.810001,51.250000,51.630001,51.219589,16120700
2021-04-20,52.090000,52.349998,51.950001,52.270000,51.854500,13942400
2021-04-21,52.919998,53.180000,52.689999,53.110001,52.687824,11431700
2021-04-22,53.070000,53.099998,52.430000,52.709999,52.291000,9436000
2021-04-23,52.740002,52.759998,52.160000,52.259998,51.844578,6562700
2021-04-26,52.450001,52.480000,51.990002,52.369999,51.953705,6451500
2021-04-27,52.799999,52.810001,52.310001,52.369999,51.953705,8342200
2021-04-28,52.360001,52.599998,51.930000,52.080002,51.666012,8145100
2021-04-29,52.259998,52.279999,50.660000,51.369999,50.961655,11150900
2021-04-30,53.270000,54.560001,52.939999,53.070000,52.648140,15298000
2021-05-03,53.369999,53.740002,53.119999,53.700001,53.273132,6636700
2021-05-04,53.270000,53.380001,52.740002,52.930000,52.509254,8149700
2021-05-05,53.270000,53.700001,53.080002,53.650002,53.223530,7360500
2021-05-06,53.270000,53.520000,52.970001,53.480000,53.054882,5502400
2021-05-07,53.529999,54.049999,53.529999,53.810001,53.382259,4775900
2021-05-10,54.549999,54.700001,54.169998,54.380001,53.947727,8362000
2021-05-11,53.330002,54.189999,53.330002,54.099998,53.669952,7480100
2021-05-12,54.720001,55.020000,54.380001,54.500000,54.066772,8345500
2021-05-13,54.459999,55.220001,54.430000,55.049999,54.612400,7311600
2021-05-14,55.240002,55.380001,55.080002,55.209999,54.771130,5198500
2021-05-17,55.490002,55.880001,55.430000,55.880001,55.435806,5528200
2021-05-18,56.209999,56.369999,55.990002,55.990002,55.544930,6982700
2021-05-19,56.250000,56.360001,55.950001,56.340000,55.892147,10347200
2021-05-20,56.970001,57.630001,56.880001,57.439999,56.983402,10172300
2021-05-21,57.580002,57.730000,57.349998,57.400002,56.943722,7252800
2021-05-24,57.509998,57.720001,57.430000,57.470001,57.013165,4324500
2021-05-25,57.330002,57.360001,56.759998,56.910000,56.457615,7404300
2021-05-26,57.009998,57.060001,56.520000,56.540001,56.090557,4063400
2021-05-27,56.209999,57.360001,56.200001,56.889999,56.437775,12365400
2021-05-28,56.750000,57.430000,56.700001,56.770000,56.318729,5563100
2021-06-01,57.139999,57.160000,56.150002,56.250000,55.802864,6757100
2021-06-02,55.880001,56.230000,55.860001,56.099998,55.654053,6077800
2021-06-03,55.779999,56.389999,55.730000,56.250000,55.802864,5497700
2021-06-04,56.639999,57.060001,56.570000,56.799999,56.348488,4868800
2021-06-07,56.619999,56.959999,56.349998,56.400002,55.951672,6282600
2021-06-08,56.799999,56.799999,55.919998,56.310001,55.862389,5164700
2021-06-09,56.959999,57.660000,56.860001,57.599998,57.142128,7486500
2021-06-10,58.139999,58.880001,57.950001,58.840000,58.372272,7558300
2021-06-11,59.130001,59.150002,58.529999,58.770000,58.302830,7684400
2021-06-14,58.959999,58.970001,58.320000,58.759998,58.292908,6596700
2021-06-15,58.990002,59.009998,58.580002,58.840000,58.372272,5940400
2021-06-16,58.860001,59.340000,58.279999,58.410000,57.945694,6968400
2021-06-17,58.060001,58.459999,57.869999,58.349998,57.886169,4875000
2021-06-18,57.830002,58.599998,57.570000,58.369999,57.906010,14107300
2021-06-21,58.200001,58.459999,57.980000,58.310001,57.846489,5305100
2021-06-22,58.160000,58.320000,57.689999,57.889999,57.429825,4899900
2021-06-23,58.849998,58.849998,57.880001,57.980000,57.519112,5804800
2021-06-24,58.389999,59.070000,58.330002,58.419998,57.955612,5247900
2021-06-25,59.049999,59.419998,58.810001,59.349998,58.878220,9532500
2021-06-28,59.779999,60.369999,59.730000,60.070000,59.592495,5822300
2021-06-29,60.119999,60.340000,59.910000,60.180000,59.701622,4667300
2021-06-30,60.060001,60.290001,59.720001,59.900002,59.423851,4575500
2021-07-01,59.869999,60.439999,59.709999,60.310001,59.830589,4754700
2021-07-02,60.259998,60.880001,60.070000,60.790001,60.306774,5197300
2021-07-06,60.410000,60.560001,59.869999,59.900002,59.423851,6893600
2021-07-07,59.759998,59.820000,59.299999,59.759998,59.284958,6434700
2021-07-08,59.450001,59.669998,58.830002,59.259998,58.788933,6895000
2021-07-09,59.119999,59.910000,59.070000,59.630001,59.155994,6173600
2021-07-12,60.290001,60.930000,60.230000,60.500000,60.019077,10067900
2021-07-13,60.090000,60.660000,60.070000,60.610001,60.128204,8321600
2021-07-14,60.090000,60.180000,59.630001,59.799999,59.324642,23737800
2021-07-15,58.790001,58.860001,56.849998,56.959999,56.507217,27055800
2021-07-16,56.790001,57.480000,56.400002,56.790001,56.338570,28642800
2021-07-19,56.439999,56.880001,56.000000,56.480000,56.031033,41068100
2021-07-20,57.270000,57.900002,56.759998,57.540001,57.082607,65540200
2021-07-21,57.910000,58.060001,57.529999,57.770000,57.310780,19553100
2021-07-22,58.150002,58.480000,57.880001,57.959999,57.499268,48604900
2021-07-23,58.360001,58.720001,58.020000,58.230000,57.767124,14129800
2021-07-26,57.520000,57.619999,56.750000,56.790001,56.338570,19736700
2021-07-27,57.689999,57.689999,56.580002,57.459999,57.003242,15839100
2021-07-28,57.029999,57.430000,56.810001,56.810001,56.358414,10798900
2021-07-29,58.009998,58.599998,57.509998,57.639999,57.181812,10601800
2021-07-30,57.450001,57.669998,57.130001,57.240002,56.784996,7336500
2021-08-02,57.049999,57.540001,56.790001,57.380001,56.923882,7253000
2021-08-03,57.509998,57.730000,57.410000,57.660000,57.201653,5249100
2021-08-04,57.500000,57.799999,57.299999,57.310001,56.854439,6945300
2021-08-05,58.160000,58.430000,57.869999,58.410000,57.945694,8875100
2021-08-06,57.230000,57.279999,56.240002,56.439999,55.991352,6219100
2021-08-09,56.660000,56.830002,56.000000,56.360001,55.911987,9652700
2021-08-10,56.380001,56.830002,56.250000,56.410000,55.961590,6694400
2021-08-11,56.810001,56.919998,56.480000,56.610001,56.160000,6156800
2021-08-12,57.060001,57.540001,56.709999,57.459999,57.459999,9174700
2021-08-13,57.799999,58.639999,57.740002,58.480000,58.480000,7197400
2021-08-16,58.070000,58.919998,58.049999,58.750000,58.750000,6117000
2021-08-17,58.509998,59.430000,58.480000,59.349998,59.349998,6907600
2021-08-18,59.560001,60.189999,59.400002,59.439999,59.439999,9738800
2021-08-19,59.119999,59.790001,59.020000,59.189999,59.189999,4327000
2021-08-20,59.330002,59.599998,59.070000,59.389999,59.389999,3494000
2021-08-23,59.090000,59.349998,58.779999,58.799999,58.799999,6114700
2021-08-24,58.360001,58.570000,57.860001,58.520000,58.520000,4234000
2021-08-25,58.939999,58.950001,58.400002,58.580002,58.580002,5606800
2021-08-26,58.860001,59.060001,58.430000,58.759998,58.759998,3715400
2021-08-27,58.889999,59.230000,58.459999,58.630001,58.630001,5244600
2021-08-30,58.669998,58.810001,58.509998,58.610001,58.610001,2296500
